,alias,x,g1,g2,y,g1hat,g2hat,yhat
913,C2H6O2,"[57.          9.13742825  4.37063867  4.59792642 18.          0.91377701
  5.05521675]",15.969675529409306,3.2198403237017086,45364.83299,15.969387058438471,3.2704415309763237,45220.95946778378
914,C2H6O2,"[75.          9.54568561  3.8676837   7.48611338 14.          0.6648399
  4.64783939]",16.432806322183733,1.1449563103718363,62240.96943,16.430440236599463,1.150363818728648,62015.13712299139
915,C2H6O2,"[80.          5.43356285  4.32187903  5.43380598 11.          0.33655399
  3.8221993 ]",15.863453303465608,0.8667859104640762,41798.97391,15.862962652216986,0.8809661773918553,42133.324628731
916,C2H6O2,"[45.          2.36712424  3.84706793  5.48612321 10.          0.82220111
  5.74197102]",15.886983804080716,2.422452747514151,42485.6402,15.890462094312877,2.416080356591769,42511.48837122376
917,C2H6O2,"[59.          7.00801965  3.93079968  2.34602313  8.          0.50408311
  4.19647585]",16.392532421186434,4.43650288047095,27360.415109999998,16.37895409912167,4.43305469117786,27356.487565067277
918,C2H6O2,"[47.          1.7983228   3.80158968  4.22545138 10.          0.85568575
  4.75854318]",15.825425903107584,3.4828655294433895,32621.33324,15.835438631851133,3.474397379545752,32611.331145532502
919,C2H6O2,"[68.          1.35380926  5.498526    5.39530273  9.          1.77244152
  5.802181  ]",14.204117870959017,2.3639968697121656,42967.94745000001,14.204506501249975,2.363299207073466,42987.9319239386
920,C2H6O2,"[42.          3.49189883  5.5155032   6.23781783 10.          0.57682878
  4.42618026]",14.678260100778951,0.7045701804603741,45656.53657,14.673290714130227,0.7106351504800195,45823.99088210422
921,C2H6O2,"[59.          6.56429294  4.4222841   4.23774301 17.          0.26602977
  4.13109236]",15.863453303465608,1.4753618884772388,37164.84941,15.864706567675237,1.49926519524094,37190.18804850175
922,C2H6O2,"[69.          9.05686154  4.77919361  4.7247944   9.          1.00534226
  4.83154317]",15.599301689408646,2.243849342924615,46054.11887,15.598136401837007,2.207530725680024,45886.50429071852
923,C2H6O2,"[49.          3.42318908  4.44321041  1.14049838 12.          0.58060641
  4.31874338]",10.800494629021111,8.98473824501861,15076.814629999999,10.814820487737206,8.980978215642674,15277.84637933887
924,C2H6O2,"[44.          9.01474553  4.98398113  5.75371623 18.          1.09719596
  3.71730072]",15.40025565292816,1.7985018383635678,50525.54423,15.400116827623053,1.796447059136145,50421.88038448704
925,C2H6O2,"[62.          6.28157006  5.36359869  4.02161682  9.          0.71079663
  4.40770574]",15.053384623917951,1.9843293950180727,36894.56762,15.0580521499819,2.0020663512075116,36659.14505425022
926,C2H6O2,"[66.          6.13700474  4.39024181  7.90560674 15.          0.62700823
  3.75445618]",15.767438637480574,0.553898539124802,57381.9391,15.767462885836583,0.5402005215456009,57422.14383718869
927,C2H6O2,"[46.          3.21361956  3.90170343  2.30596917 11.          0.51207247
  5.74191356]",15.995877905023546,5.027851452929636,22841.34758,15.951995649532133,4.973109607615543,22866.50098541847
928,C2H6O2,"[43.          5.72060251  4.52599207  7.87665032  9.          0.91614008
  5.92367608]",15.617320198067526,1.1749682672201711,62604.9668,15.617108819479324,1.1654286561535332,62394.61439959805
929,C2H6O2,"[63.          3.51981184  5.42373233  2.30930624 12.          0.96578559
  4.76902595]",14.897265390682884,5.726776446607777,23232.98249,14.90451439574968,5.719346679281351,23219.977554166624
930,C2H6O2,"[61.          1.46641183  4.3415107   1.94090274  8.          1.98192842
  4.30588461]",15.405145639084303,6.765058731734122,19597.69629,15.404393654511283,6.757993856273082,19580.72787863943
931,C2H6O2,"[73.          3.29176589  5.20375681  6.32159502 15.          1.04883714
  4.52960229]",14.87972107487819,1.3455555798270178,47712.38414,14.877038699102394,1.2937564705415716,47495.99025919865
932,C2H6O2,"[54.          9.3657623   5.57654852  7.75518837  9.          1.51556146
  5.84585114]",14.912124509997408,1.3280004776376946,68044.04615,14.914135621596138,1.3403521472665572,67724.4207928592
933,C2H6O2,"[47.          1.59846641  5.35280162  5.02131179 18.          0.45159028
  5.48816828]",14.426155974078647,1.211095552310548,37565.70111,14.425427685856844,1.1943335820748717,37623.84351881024
934,C2H6O2,"[48.          2.47290349  3.91066449  6.70202304 16.          1.14151776
  4.39707621]",15.788791765142385,2.443945091273793,48507.34958,15.788142648553844,2.4410817247855094,48368.07622236772
935,C2H6O2,"[70.          5.52448351  4.08053174  7.29702201 12.          1.17839515
  5.76618028]",16.041134501320556,1.9519478064228548,59030.6723,16.04061381760236,1.962942396788401,59118.57931443211
936,C2H6O2,"[65.          2.05208237  5.84958031  5.39395637 12.          0.45068973
  5.48506297]",14.215987454507564,0.7590122722441656,40279.328499999996,14.213179961119106,0.7692094807933403,40355.70673207222
937,C2H6O2,"[65.          5.80114983  5.73473146  6.52018048  9.          0.76109972
  4.12122285]",14.697399449245113,0.6379992526144467,50199.41269,14.696121388833982,0.6285925601117954,50259.54989308033
938,C2H6O2,"[70.          1.30179191  4.92472421  6.3372108  19.          0.81574715
  5.55314326]",14.553654626400537,1.364009809562856,46390.840350000006,14.55355398004468,1.3536306507017135,46152.625900625935
939,C2H6O2,"[44.          8.61807063  3.81872166  3.78101103 18.          0.46985137
  4.07312849]",15.781623274070437,3.3322368777700455,37873.682049999996,15.78387751171221,3.3340752388386425,37755.80088243571
940,C2H6O2,"[69.          7.48032883  5.10286908  5.85763911 15.          0.65323831
  4.36423998]",15.263680087738036,1.0096920775707494,49039.47222,15.263178522243763,0.943422800997856,49016.49326960974
941,C2H6O2,"[47.          9.17605505  4.95847949  3.80595992 14.          1.90511001
  3.88337851]",15.343368266548566,6.0353465556541614,40179.23029,15.34333532833923,5.997975733901916,40441.51837460284
942,C2H6O2,"[70.          9.40930313  5.81392128  4.1558756   9.          1.97271416
  5.59724522]",14.804371610602656,3.198876844725353,45476.36606,14.807150440597962,3.204096345078851,45444.025250558116
943,C2H6O2,"[45.          9.28757694  5.67474091  4.6318664  15.          0.91820487
  3.6369041 ]",14.868193565713577,1.7425145068090708,43754.956560000006,14.867275528198519,1.7637472426184693,43559.81679138715
944,C2H6O2,"[53.          8.22568104  3.51158006  3.3344942  13.          1.16731209
  5.79963904]",16.873118188172164,5.407051561939432,37223.8202,16.871128320085607,5.43755135599811,37066.64930222081
