,alias,x,g1,g2,y,g1hat,g2hat,yhat
0,C2H6O2,"[74.          5.77539062  4.4358724   7.22070312 15.          0.45664063
  5.07389323]",15.726053414958491,0.6780285264843108,14703896.4,15.72444437704217,0.7157408847133295,14668191.527066005
1,C2H6O2,"[58.          6.26757812  5.14876302  5.53450521 12.          1.76914062
  4.7483724 ]",15.185931315798555,2.9457034457881073,12643526.9,15.190223617998324,2.9809761705869966,12653366.003666122
2,C2H6O2,"[55.          2.68164062  3.66113281  1.36002604  8.          1.83945312
  5.90397135]",14.397115804870642,6.621527821656793,6050503.34,14.401060783010315,6.60450564272504,6056267.945657981
3,C2H6O2,"[58.          8.47070312  3.62858073  3.14648438 12.          0.95820313
  5.5719401 ]",16.752973869349574,5.295720978487306,11419146.2,16.745487572940135,5.297673706042775,11415126.741710426
4,C2H6O2,"[64.          6.70117188  5.89420573  7.11132812 12.          1.55351562
  3.62532552]",14.611798046416107,1.1486679692710429,18350663.3,14.611570367801962,1.183589701856092,18347739.49195399
5,C2H6O2,"[41.          9.29101562  3.78157552  6.70117188 16.          1.16210938
  5.7249349 ]",16.518573150667535,2.966086524829353,16092818.3,16.517186152549954,2.9641677449557777,16093768.702716108
6,C2H6O2,"[73.          8.61132812  4.32519531  6.86523438 16.          1.02851563
  5.4938151 ]",15.961091784963322,1.807638406206874,16426065.3,15.962038752241522,1.7981371100298562,16405733.717353363
7,C2H6O2,"[55.          2.79882812  4.57910156  7.69466146 13.          1.06367188
  4.5921224 ]",15.242626673668154,1.3006367231309899,13858248.1,15.242220393275893,1.306182815264006,13855093.60455892
8,C2H6O2,"[74.          1.00585938  4.5139974   4.86914062 19.          0.41210938
  4.84928385]",14.72185055496192,1.416117243787953,9140050.9,14.722912603535768,1.425290664252519,9133786.91211057
9,C2H6O2,"[63.          3.97070312  3.72298177  2.62695312 12.          1.86992187
  5.8421224 ]",16.47477052463039,6.841350862973735,8489285.85,16.46843892748875,6.85204632305275,8498581.064278053
10,C2H6O2,"[46.          1.52148438  5.8030599   5.88085938 11.          0.91367188
  5.11946615]",14.061410314430248,1.2643088648355345,10834046.2,14.060235597065825,1.2541426782322667,10868104.857063804
11,C2H6O2,"[64.          5.04882812  3.93782552  6.50976562  9.          0.66523437
  4.87207031]",16.16938885058006,1.3969713395681194,13308062.9,16.171978667972862,1.4095906327010006,13332604.997542545
12,C2H6O2,"[47.          9.57226562  4.50748698  7.12955729  9.          1.22773437
  4.09733073]",15.810610814920365,1.6030626746864636,16142902.1,15.810260482270456,1.606354158262902,16153349.87379308
