,alias,x,g1,g2,y,g1hat,g2hat,yhat
0,C7H14O-E1,"[1.08014899e+00 2.41187022e+02 4.76946837e+04 4.10000000e+01
 1.74832589e+00 5.64425223e+00 5.26171875e+00 1.40000000e+01
 4.76227679e-01 5.24804688e+00]",0.8758195174554733,-0.45042368024348245,10287257.0,0.8762498683167794,-0.4496233420580023,10295537.319640977
1,C9H22O3SSI,"[1.20534033e+00 3.42220322e+02 6.53720428e+04 5.70000000e+01
 9.43247768e+00 5.85072545e+00 7.71484375e+00 1.60000000e+01
 9.20200893e-01 5.64983259e+00]",2.850756266547708,0.08731319176762657,50281426.8,2.84948527656141,0.08764738331410543,50221966.647444054
2,C5CL6,"[1.05852247e+00 2.18018128e+02 5.75698497e+04 4.90000000e+01
 1.71819196e+00 3.65485491e+00 4.40234375e+00 1.90000000e+01
 1.60725446e+00 3.55440848e+00]",0.65263601263133,0.6514844629733515,14515198.9,0.6532883974209914,0.6511884245866661,14515309.3767065
3,C6H10O-D2,"[1.27210383e+00 1.78234848e+02 4.20001451e+04 6.80000000e+01
 2.39118304e+00 3.85295759e+00 2.73828125e+00 1.10000000e+01
 6.75111607e-01 4.33286830e+00]",1.3473779835798971,1.1609330800146407,6202895.19,1.348804652647195,1.1602503414727228,6223084.891101453
4,C13H26O2,"[9.64360261e-01 4.19412441e+02 7.54827326e+04 4.70000000e+01
 5.27399554e+00 4.57840402e+00 3.94140625e+00 1.00000000e+01
 2.53236607e-01 4.88811384e+00]",0.3692502376484508,-0.07315162706204788,33567105.3,0.3701857251104228,-0.07272375327087571,33548183.784971885
5,C4H9NO,"[7.24644054e-01 1.84522528e+02 4.49717629e+04 6.20000000e+01
 1.03515625e+00 5.26757812e+00 6.37890625e+00 1.50000000e+01
 1.69966518e+00 5.73074777e+00]",-0.5782787428815069,-0.5718829395369154,8512262.79,-0.5768540270530627,-0.5711224290128978,8512178.004244398
6,C9H8O2,"[1.14349746e+00 3.73529759e+02 1.13407141e+05 5.70000000e+01
 1.48716518e+00 4.01757812e+00 2.31640625e+00 9.00000000e+00
 1.49073661e+00 3.76088170e+00]",0.8506084587306662,0.8505888137177803,15714918.9,0.8510630688488997,0.8500938698857958,15713830.855227977
7,C4H10O-1,"[8.02764314e-01 2.09812092e+02 5.35352991e+04 4.00000000e+01
 6.92131696e+00 4.72070312e+00 3.89453125e+00 9.00000000e+00
 1.40636161e+00 4.12639509e+00]",0.2548755139731542,0.24869497607941632,8181573.47,0.2559252618983383,0.24880132479252504,8188011.245121322
8,C7H6CL2,"[9.87822610e-01 1.90341544e+02 5.30900235e+04 6.90000000e+01
 2.51171875e+00 4.56166295e+00 2.24609375e+00 1.20000000e+01
 9.60379464e-01 3.83900670e+00]",0.17643583783752295,0.17637227388899157,8158853.68,0.17756394707752787,0.17655087305383899,8165318.225376562
9,C9H7N-D1,"[9.35588272e-01 1.93627144e+02 6.02984405e+04 7.70000000e+01
 9.66350446e+00 4.94112723e+00 5.53515625e+00 8.00000000e+00
 1.66551339e+00 5.03599330e+00]",0.24835350926951602,0.2479076970424497,20589069.3,0.24940977268391462,0.24801483224810286,20583111.9741091
10,C4H10S,"[3.32533881e+01 1.67577691e+02 3.56232007e+04 4.80000000e+01
 4.77176339e+00 4.62583705e+00 7.48828125e+00 1.40000000e+01
 1.03872768e+00 4.27427455e+00]",2.924733680492473,-3.2061401977402446,9610899.11,2.9240404117700396,-3.2031494630460604,9612568.270536378
11,C8H16O2-D1,"[1.03096188e+00 2.74451426e+02 4.96585160e+04 6.70000000e+01
 2.48158482e+00 4.37751116e+00 3.84765625e+00 1.40000000e+01
 5.42522321e-01 3.59347098e+00]",0.6166458601954692,-0.07378451230821696,10130853.9,0.6173278884778783,-0.07335839819739154,10135985.456585564
12,C6H13N-N3,"[9.07091005e-01 1.87204995e+02 3.63040836e+04 4.90000000e+01
 9.12109375e+00 4.22405134e+00 1.72265625e+00 1.40000000e+01
 1.16729911e+00 4.18219866e+00]",0.3064162366844183,0.3060914711025126,7924358.06,0.30741429306991397,0.30614043047438344,7930221.104226611
13,C7H16-8,"[7.82672615e-01 2.16684043e+02 3.51441445e+04 5.60000000e+01
 8.02622768e+00 4.54213170e+00 3.66796875e+00 1.10000000e+01
 1.05680804e+00 4.40262277e+00]",-0.5940129015285941,-0.8112611613082196,9164508.28,-0.5921151135140317,-0.8100959153862359,9169787.00050838
14,C3H4CL2,"[1.25513860e+00 1.66426458e+02 3.83027832e+04 5.50000000e+01
 4.13895089e+00 5.06947545e+00 7.08203125e+00 1.30000000e+01
 4.46093750e-01 4.45563616e+00]",1.8491884962565193,-0.8749514634533099,8103272.37,1.8486736965816264,-0.8738085568209015,8106014.266844114
15,C5H6,"[1.03091766e+00 8.89796087e+01 2.60457646e+04 4.00000000e+01
 5.01283482e+00 5.91489955e+00 1.71484375e+00 1.60000000e+01
 1.31395089e+00 4.63141741e+00]",0.13102040729438724,-0.15174952930192948,3605753.99,0.1321477854485804,-0.15126289903991214,3615064.4347110875
16,C6H8N2-D2,"[1.19660009e+00 1.67670117e+02 6.68141640e+04 4.20000000e+01
 1.81863839e+00 4.42494420e+00 1.63671875e+00 1.90000000e+01
 1.43046875e+00 3.52929688e+00]",0.5265778681646626,0.5265778724484135,8567742.46,0.5273561851665785,0.5264066158704443,8573794.451631574
17,C5H8-E2,"[1.02945880e+00 1.63334593e+02 2.58548910e+04 5.40000000e+01
 9.50279018e+00 5.27036830e+00 5.00390625e+00 9.00000000e+00
 5.94754464e-01 5.04994420e+00]",-0.2118454599808186,-1.5386154757923052,5926936.04,-0.21032945733805652,-1.5367236021523487,5935510.874447923
18,C9H12-5,"[1.03542232e+00 2.15880735e+02 4.69960769e+04 4.60000000e+01
 5.64564732e+00 4.03431920e+00 4.75390625e+00 2.00000000e+01
 6.48995536e-01 4.12918527e+00]",0.6706467177591192,0.19768617302475064,11766038.6,0.6712793965858795,0.19784349049147926,11768402.296152458
19,C8H16O-D3,"[1.06168026e+00 2.68938016e+02 5.18525088e+04 6.90000000e+01
 8.13671875e+00 3.78599330e+00 7.42578125e+00 2.00000000e+01
 9.70424107e-01 5.73353795e+00]",1.5406307155769015,0.691198149268783,22345204.6,1.5403959927712128,0.6908624368698144,22337492.790694114
20,C13H12,"[1.05602654e+00 2.58196094e+02 6.74295934e+04 6.70000000e+01
 6.30859375e+00 5.84793527e+00 7.47265625e+00 1.10000000e+01
 2.21093750e-01 5.64146205e+00]",1.2176060311165877,-0.2420463895089689,40124493.5,1.2176940102933769,-0.24144978968138625,40099020.26650808
21,C6H15NO-D1,"[8.55016514e-01 2.35142300e+02 5.13817140e+04 7.30000000e+01
 9.86439732e+00 4.12639509e+00 5.01171875e+00 8.00000000e+00
 1.76796875e+00 5.10016741e+00]",0.3606344176419772,0.33730107425521066,15311530.0,0.36157696270079875,0.3373194100909773,15308619.667296447
22,C7H16-1,"[7.82628965e-01 2.24586696e+02 3.66190767e+04 4.40000000e+01
 1.90904018e+00 5.56054688e+00 3.67578125e+00 8.00000000e+00
 7.69531250e-01 5.21735491e+00]",-0.6473238843932706,-1.0473229091938907,6040205.89,-0.6453728383678199,-1.0459218373186707,6048781.807561576
23,C10H15N-E2,"[1.05186883e+00 2.87824073e+02 6.56201674e+04 7.70000000e+01
 9.01060268e+00 4.29938616e+00 6.85546875e+00 1.80000000e+01
 4.15959821e-01 4.27985491e+00]",1.5731367772941882,0.5732460484257657,33693105.0,1.572869278459248,0.5730283462658866,33676175.621783115
24,C13H28,"[7.99991237e-01 4.05177750e+02 6.64597244e+04 6.50000000e+01
 9.03069196e+00 3.83621652e+00 1.68359375e+00 8.00000000e+00
 1.66149554e+00 5.53264509e+00]",-0.2691616390129251,-0.2717570857578515,16592237.5,-0.2675883774483949,-0.2711308049150351,16590389.644648597
