,alias,x,g1,g2,y,g1hat,g2hat,yhat
0,C7H14O-E1,"[1.08014899e+00 2.41187022e+02 4.76946837e+04 5.60000000e+01
 9.51484375e+00 5.91210938e+00 2.15390625e+00 1.10000000e+01
 1.56265625e+00 3.97460938e+00]",1.0068032536614513,0.9658088100380342,8989682.34,1.0088675153983702,0.9652115264117754,9013768.167360319
1,C9H22O3SSI,"[1.20534033e+00 3.42220322e+02 6.53720428e+04 5.20000000e+01
 7.84140625e+00 5.58007812e+00 2.64609375e+00 8.00000000e+00
 1.33484375e+00 4.24023438e+00]",1.807646938890639,1.5886494479209994,20352159.2,1.8107017524089986,1.5874021644274845,20436087.544655014
2,C6H10O-D2,"[1.27210383e+00 1.78234848e+02 4.20001451e+04 6.80000000e+01
 6.35078125e+00 5.89257812e+00 3.14921875e+00 1.90000000e+01
 1.37140625e+00 5.27929688e+00]",2.4015130186202263,1.8499876759517322,7816127.84,2.4088614670695434,1.8484367386351739,7834420.648700162
3,C13H26O2,"[9.64360261e-01 4.19412441e+02 7.54827326e+04 7.20000000e+01
 6.43515625e+00 4.81835938e+00 6.15703125e+00 1.30000000e+01
 1.04234375e+00 4.11132812e+00]",0.5088342511932641,-0.15323495549255395,50431371.9,0.5094770534939829,-0.15281061640451077,50395517.49298765
4,C9H8O2,"[1.14349746e+00 3.73529759e+02 1.13407141e+05 6.00000000e+01
 1.83671875e+00 5.58398438e+00 6.98828125e+00 9.00000000e+00
 9.57968750e-01 4.36523438e+00]",2.162136790408939,2.0849250890920947,44798852.9,2.161127941821749,2.083113504059674,44768625.38509555
5,C4H10O-1,"[8.02764314e-01 2.09812092e+02 5.35352991e+04 5.20000000e+01
 5.63359375e+00 3.89648438e+00 7.34921875e+00 1.60000000e+01
 7.77968750e-01 4.90039062e+00]",-0.03603661136776499,-0.15133241169485642,11320916.1,-0.03484948253060294,-0.15090997324996774,11324133.077403244
6,C7H6CL2,"[9.87822610e-01 1.90341544e+02 5.30900235e+04 4.60000000e+01
 3.91796875e+00 4.36523438e+00 6.52890625e+00 1.30000000e+01
 1.32359375e+00 4.84570312e+00]",0.2742322065016131,0.22712076340023057,16846327.8,0.2751121439963876,0.2271651267451242,16844026.52307976
7,C9H7N-D1,"[9.35588272e-01 1.93627144e+02 6.02984405e+04 7.50000000e+01
 9.36015625e+00 4.94335938e+00 5.64296875e+00 1.80000000e+01
 1.69484375e+00 4.63476562e+00]",0.23876857639625576,0.2387687386875292,20960319.5,0.2396811734195473,0.2388014656934745,20953906.70377175
8,C4H10S,"[3.32533881e+01 1.67577691e+02 3.56232007e+04 7.20000000e+01
 3.07421875e+00 3.96679688e+00 1.42109375e+00 1.20000000e+01
 4.99531250e-01 3.77148438e+00]",1.03990775522222,-0.2935650650641947,4517618.3,1.0400089093966987,-0.29300053605649934,4527597.09975438
9,C6H13N-N3,"[9.07091005e-01 1.87204995e+02 3.63040836e+04 5.20000000e+01
 1.02109375e+00 5.31054688e+00 3.54296875e+00 8.00000000e+00
 3.78593750e-01 4.74804688e+00]",-0.09417180588232178,-0.8036432839365023,4847949.44,-0.09317248495620056,-0.802569186354405,4856822.744588627
